Aamodt
Aamodttoppen
Agnor veiskille
Ahus
Aktivitetsvegen
Alderspensjonatet
Alexander Langes vei
Algarheim
Algarheim skole
Allergot ungdomsskole
Almebakken
Almelien
Alnæs
Alværn
Alværn ungdomsskole
Andreas Mørchs vei
Annikveien
Anton Walles vei
Apotekerstranda
Aremoen
Arne Garborgs vei
Arnesenga
Arnestad
Arnestad skole
Arteid
Artilleriveien
Asak pleiehjem
Asak skole
Asakmoen
Ask terminal
Askehaug
Askehaug gård
Askeladdveien
Asker kirke
Asker museum
Asker rådhus
Asker stasjon
Asker stasjon Lensmannslia
Askerhallen
Askervangen
Askhellinga
Askjordet
Asmyr
Aspelund
Asper bro
Asperudveien
Aspervegen
Aspond
Auli kapell
Auli mølle
Auli senter
Auli stasjon
Aulifeltet
Aulitoppen
Aurskog kirke
Aurskog meieri
Aurskog stasjon
Aurskog sykehjem
Aursmoen
Aursmoen skole
Aurstad
Ausenveien
Austad
Austaddalsvegen
Austliveien
Autenveien
Auvi søndre
Averstad
Averstadmoen
Avløs
Avtjerna
Baarsrudveien
Bahusvegen
Baker Gulbrandsen
Bakke
Bakkelittfabrikken
Bakken
Bakker
Bakker bru
Bakker gård
Bakkestranda
Bakkevegen
Bakkeveien
Baku
Ballangrud
Barbøl
Barlindbekken
Basmo
Bekk
Bekkebakken
Bekkeberget
Bekkedal
Bekkefaret
Bekkeholtet
Bekkelaget
Bekkenga
Bekkensten
Bekkenstenveien
Bekkestua
Bekkestua bussterminal
Bekkevar
Bekkevold
Bekkstrand
Beltern
Berg
Berge
Berger
Berger geopark
Berger stadion
Berger veiskille
Bergerbakken skole
Bergergrinda
Bergermoen
Bergerstien
Bergertoppen
Bergerud
Bergerveien
Berghagan
Bergheim
Bergholmen brygge
Bergly
Bergsjø
Bergsmyrene
Bernt Ankers vei
Berntsebråten
Berntsengutua
Best Western Plus Oslo Airport
Bestemorstranda
Beston
Betania
Betaniatoppen
Bevervegen
Bidsler
Billingstad stasjon
Billingstadveien
Billitt
Bindingsvann
Bingsfoss stasjon
Bingsfoss ungdomsskole
Bispeveien
Biterudveien
Bitihagen
Bjastad
Bjellum
Bjerke
Bjerkefeltet
Bjerkeflåtten
Bjerkeholtet
Bjerkek
Bjerkelunden
Bjerkelundsveien
Bjerkesenteret
Bjerkeskog
Bjerketun
Bjerklund
Bjerknes
Bjerkås
Bjerkåsmarka
Bjertnes
Bjertnes vgs.
Bjertnesgrenda
Bjertnestunet
Bjøralt
Bjøraltenga
Bjørgan
Bjørgesæter
Bjørk
Bjørke gård
Bjørke kirke
Bjørkebakka
Bjørkelangen skole
Bjørkelangen stasjon
Bjørkelangen vgs.
Bjørkeli
Bjørkelia
Bjørkeliveien
Bjørkeløkka
Bjørkemoen
Bjørklundvegen
Bjørkåsen stasjon
Bjørndalen
Bjørnebekk
Bjørnebråten
Bjørnebærvegen
Bjørnegård
Bjørnegård bru
Bjørnekollen
Bjørnemyr
Bjørnerud
Bjørningstad
Bjørnli
Bjørnson
Bjørnstad
Bjørtomthagen
Bjørumsaga
Blaker kirke
Blaker skole
Blaker stasjon
Blakermoen
Blakstad bussterminal
Blakstad hageby
Blakstadmarka
Bleikerhaugen
Bleikerkollen
Blekstad
Bliksrud
Blommenholm
Blommenholm skole
Blommenholm stasjon
Blylaget
Blystadlia
Blåbærskogen
Blåbærveien
Blåklokkelia
Bodung stasjon
Bogen
Boger gård
Bogstad
Bokfinkveien
Bolseth
Bolstad
Bomansvik
Bondal
Bondi skole
Bondi sykehjem
Bondibrua
Bondivann stasjon
Borgen
Borgen idrettsplass
Borgen skole
Borgen-Jølsen
Borgenfeltet
Borgenvegen
Borgersrud
Borkenveien
Borstad
Borud
Botner
Brages veg
Branderud
Brandstad
Brangerud
Branngata
Brattfoss
Brattlia
Brattsberg
Brattvaldsgrinda
Brattvoll
Brauta
Brauter
Brautergutua
Brauterkrysset
Brautertoppen
Bregnefaret
Breidablikk
Brendsrudroa
Brenna
Brennagutua
Brennejordet
Brennivegen
Brennlia
Brennsmork
Brente
Brevik
Brevikbukta
Brinken
Brinkli
Briskeveien
Brokerudhagan
Brokkenhus
Brotno
Brovoll
Bru
Brudalen
Bruerløkka
Bruksveien
Brustad
Bruvollen
Brydestranda
Bryn kirke
Brynildsen
Brynshagen
Brynsholmen
Bråeng
Brånås skog
Brånås skole
Brånåslia
Brårud
Brårud skole
Brårud skoleplass
Brårudfeltet
Bråset
Bråstad
Bråtakroken
Bråtan
Bråtasletta
Bråte
Bråte bru
Bråte skole
Bråtebuktveien
Bråtejordet
Bråtengutua
Bråtenstubben
Bråtenveien
Brøhaug
Brøholt
Brøholtstranda
Brønnerud skole
Brørbytoppen
Bunes
Bunesvika
Burudveien
Buråsvegen
Bye
Bygdehuset
Bygdetunet
Bykrysset
Bylterudveien
Byrstua
Byrud
Bytoppen
Bårli
Bårlibakken
Bårlidalen
Bårliåsen
Bårstad
Båstadveien
Båtstø
Bæregveien
Bærum rådhus
Bærum sykehus
Bærums meieri
Bærums verk
Bødalen
Bøhler
Bøler
Bøler mølle
Bøleråsen
Bøleråsen skole
Bølstad terrasse
Bøn sykehjem
Bønsdalen
Bønsdalskrysset
Bønsmovegen
Børstadbakken
Christian Skredsvigs vei
Clarion Hotel
Clarion Hotel Oslo Airport
Clausenbakken
Comfort Hotel Runway
Conradis vei
Dagsjøvegen
Dal
Dal skole
Dal stasjon
Dalbø
Dalebråten bru
Dalen
Dalen skole
Dalenveien
Daletoppen
Dalgarasjen
Dalheimveien
Dalsbakken
Dalsbergstien
Dalset
Dalskleiva
Dalskroken
Dalskrysset
Dalstua
Daltorp
Dam
Dambo
Dammen
Dammensvika
Dammerud
Dampsaga allé
Damstua
Damvegen
Danskerudbråten
Danskerudveien
Dehli
Delerud
Delitoppen
Deliveien
Deør skog
Deørveien
Digerud
Digerud gård
Digerud veikryss
Dikemark
Disserud
Dokken
Dokken nord
Dorr
Dovre fabrikker
Dovre trygdesenter
Dragsjøvegen
Dragveien
Dragvoll
Drege
Drengsrud skole
Drengsrudveien
Droggetoppen
Drøbak
Drøbak brygge
Drøbak kirke
Drøbak torg
Dueveien
Durud
Durudveien
Dynamittveien
Dyrefaret
Dyrerud
Dyrløkke
Dysterud
Dytterud
Dæhlen
Dæhli stutteri
Dæhlinvegen
Døhlen
Dølerudseter
Dølerudvegen
Døli
Dølihagan
Dølitangen
Dønnum
Dønnum slakteri
Dønski bo- og behandlingssenter
Dønskitoppen
Effata
Egge
Eggumvegen
Eid
Eidet
Eidseter
Eidslia
Eidsvoll Skibladnerbrygga
Eidsvoll stasjon
Eidsvoll verk
Eidsvoll verk nord
Eidsvoll verk stasjon
Eidsvoll vgs.
Eidsvollbrua
Eikeberg
Eikeli skole
Eikeliveien
Eiksmarka
Eiksmarka T
Einerhaugen
Einerveien
Eineveien
Eineåsen
Ekeberg
Ekebergdalen
Ekebergtoppen
Ekebergveien
Ekeliveien
Ekelund
Ekerholt
Ekern
Ekko
Ekornrud
Eldor
